show_id,title,country,release_year,duration(min),listed_in
80108613,LoveTrue,United States,2016,82,Documentaries
80210691,End Game,United States,2018,40,Documentaries
80189827,Bombshell: The Hedy Lamarr Story,United States,2017,89,Documentaries
80176144,Without Gorky,United Kingdom,2011,80,Documentaries
80038162,Hot Girls Wanted,United States,2015,83,Documentaries
70242063,After Porn Ends,United States,2012,93,Documentaries
80167459,I Am Jane Doe,United States,2017,98,Documentaries
80169348,Joshua: Teenager vs. Superpower,United States,2017,79,Documentaries
80087933,The Last Man on the Moon,United Kingdom,2014,96,Documentaries
81002195,After Maria,United States,2019,38,Documentaries
80220758,Survivors Guide to Prison,United States,2017,103,Documentaries
80131167,Elizabeth at 90: A Family Tribute,United Kingdom,2016,90,Documentaries
80107656,Command and Control,United States,2017,92,Documentaries
81016247,Weed the People,United States,2018,94,Documentaries
81077874,Merata: How Mum Decolonised the Screen,New Zealand,2018,88,Documentaries
80114666,Get Me Roger Stone,United States,2017,101,Documentaries
81076049,American Experience: The Island Murder,United States,2018,53,Documentaries
81080637,Knock Down The House,United States,2019,88,Documentaries
80213148,27: Gone Too Soon,United Kingdom,2017,70,Documentaries
80103430,Defying the Nazis: The Sharps' War,United States,2016,79,Documentaries
80095094,Harry Benson: Shoot First,United States,2016,90,Documentaries
80158588,JFK: The Making of a President,United Kingdom,2017,44,Documentaries
80097361,Maya Angelou: And Still I Rise,United States,2016,114,Documentaries
80107737,Peter and the Farm,United States,2016,92,Documentaries
80011848,My Own Man,United States,2015,82,Documentaries
80131168,Hiroshima: The Real History,United Kingdom,2015,95,Documentaries
80999977,The Legend of Cocaine Island,United States,2019,87,Documentaries
80126485,The C Word,United States,2016,93,Documentaries
80144983,100 Years: One Woman's Fight for Justice,United States,2016,75,Documentaries
80058979,For Grace,United States,2015,92,Documentaries
81054383,Social Animals,United States,2018,87,Documentaries
80132964,Best Worst Thing That Ever Could Have Happened,United States,2016,97,Documentaries
80117831,Take Your Pills,United States,2018,88,Documentaries
70229921,Ai Weiwei: Never Sorry,United States,2012,91,Documentaries
80184131,LA 92,United States,2017,114,Documentaries
80172471,Koko: The Gorilla Who Talks,United Kingdom,2016,56,Documentaries
80172468,Nature: Raising the Dinosaur Giant,United States,2016,53,Documentaries
80134814,Sustainable,United States,2016,92,Documentaries
80172469,Vikings Unearthed,United States,2016,113,Documentaries
70181716,Jiro Dreams of Sushi,United States,2011,79,Documentaries
80190144,The House on Coco Road,United States,2016,79,Documentaries
80039644,(T)ERROR,United States,2015,84,Documentaries
80177782,Recovery Boys,United States,2018,90,Documentaries
80143794,American Anarchist,United States,2016,81,Documentaries
81083891,Bob Lazar: Area 51 & Flying Saucers,United States,2018,97,Documentaries
80174177,What the Health,United States,2017,92,Documentaries
